source,target
suave-chili-panda,swift-glass-wallaby
suave-chili-panda,gorgeous-mercurial-deer
suave-chili-panda,fast-snowy-cuckoo
suave-chili-panda,salty-cinnabar-jellyfish
suave-chili-panda,real-denim-wren
suave-chili-panda,magic-stone-lynx
suave-chili-panda,orbiting-eggplant-piranha
fit-cornflower-turkey,festive-plum-chameleon
fit-cornflower-turkey,great-quartz-tardigrade
fit-cornflower-turkey,interesting-ocean-dog
fit-cornflower-turkey,festive-jade-raven
fit-cornflower-turkey,tiny-inky-walrus
fit-cornflower-turkey,polite-peanut-armadillo
fit-cornflower-turkey,agreeable-cinnamon-corgi
fit-cornflower-turkey,zealous-quartz-deer
fit-cornflower-turkey,fluffy-pickle-ant
fit-cornflower-turkey,short-lemonade-lizard
fit-cornflower-turkey,clumsy-citron-parrot
fit-cornflower-turkey,little-oily-platypus
fit-cornflower-turkey,proud-saffron-coyote
fit-cornflower-turkey,raspy-cotton-ladybug
fit-cornflower-turkey,macho-amethyst-finch
fit-cornflower-turkey,damp-pistachio-finch
fit-cornflower-turkey,macho-maroon-alligator
fit-cornflower-turkey,trendy-sky-pheasant
fit-cornflower-turkey,bumpy-burgundy-barbel
fit-cornflower-turkey,big-nylon-squid
fit-cornflower-turkey,sparkly-bamboo-dragon
gorgeous-chambray-turtle,decent-lemonade-starling
gorgeous-chambray-turtle,creamy-pearl-skunk
gorgeous-chambray-turtle,obedient-sepia-chicken
gorgeous-chambray-turtle,swift-spruce-beaver
gorgeous-chambray-turtle,bitter-topaz-yeti
gorgeous-chambray-turtle,zany-boysenberry-baboon
gorgeous-chambray-turtle,jolly-bamboo-fly
gorgeous-chambray-turtle,powerful-ginger-snake
gorgeous-chambray-turtle,soft-clay-tiger
gorgeous-chambray-turtle,hot-golden-seal
gorgeous-chambray-turtle,active-lilac-rabbit
gorgeous-chambray-turtle,little-oily-platypus
gorgeous-chambray-turtle,tall-blonde-condor
gorgeous-chambray-turtle,cool-silver-spider
gorgeous-chambray-turtle,jumpy-green-mantis
gorgeous-chambray-turtle,abundant-maroon-newt
gorgeous-chambray-turtle,sharp-misty-seal
gorgeous-chambray-turtle,decent-holographic-bison
gorgeous-chambray-turtle,savory-pink-swallow
gorgeous-chambray-turtle,tiny-vermilion-platypus
gorgeous-chambray-turtle,best-shamrock-wren
short-graphite-terrier,dancing-clay-scorpion
short-graphite-terrier,tricky-lilac-pig
short-graphite-terrier,faithful-rose-seahorse
short-graphite-terrier,straight-lipstick-python
sunny-pearl-badger,prehistoric-raisin-gorilla
sunny-pearl-badger,clumsy-caramel-barracuda
sunny-pearl-badger,tame-corduroy-hamster
sunny-pearl-badger,steep-plum-dove
sunny-pearl-badger,nutty-shamrock-sardine
stable-currant-hornet,glamorous-porcelain-cougar
stable-currant-hornet,mini-amber-mallard
stable-currant-hornet,curved-cerulean-alligator
original-sandstone-elephant,micro-satin-sloth
original-sandstone-elephant,delightful-gauze-finch
original-sandstone-elephant,dazzling-raisin-huskie
original-sandstone-elephant,cool-honeysuckle-chinchilla
original-sandstone-elephant,lucky-amethyst-barracuda
dandy-ruby-yeti,prehistoric-mandarin-cod
dandy-ruby-yeti,howling-pewter-lark
dandy-ruby-yeti,real-coconut-shetland
dandy-ruby-yeti,little-oily-platypus
dandy-ruby-yeti,special-pear-shrimp
dandy-ruby-yeti,huge-honeysuckle-eagle
scrawny-sable-cat,tame-wooden-anteater
scrawny-sable-cat,tiny-candy-hamster
scrawny-sable-cat,sticky-jade-squid
scrawny-sable-cat,tart-fern-hare
scrawny-sable-cat,pet-chiffon-worm
scrawny-sable-cat,dapper-red-bear
scrawny-sable-cat,blunt-velvet-badger
scrawny-sable-cat,young-cider-cow
scrawny-sable-cat,fun-bubblegum-panther
scrawny-sable-cat,innocent-metal-blackbird
scrawny-sable-cat,joyous-tartan-blackbird
scrawny-sable-cat,atomic-wooden-lynx
scrawny-sable-cat,modern-golden-tiger
small-chili-leopard,real-glass-wallaby
small-chili-leopard,innocent-walnut-tarantula
small-chili-leopard,cheerful-crepe-penguin
small-chili-leopard,muscular-silver-boa
small-chili-leopard,cheery-paisley-cat
small-chili-leopard,petite-cream-rook
wonderful-shadow-tardigrade,teeny-cornflower-eel
wonderful-shadow-tardigrade,amateur-jetblack-lynx
wonderful-shadow-tardigrade,daring-plastic-caterpillar
amateur-seaweed-marmot,bent-taupe-alligator
amateur-seaweed-marmot,careful-seafoam-panda
amateur-seaweed-marmot,faithful-pebble-whale
amateur-seaweed-marmot,pet-cobalt-boar
amateur-seaweed-marmot,dandy-pastel-snake
amateur-seaweed-marmot,modern-golden-tiger
massive-pastel-pheasant,alert-mustard-cod
massive-pastel-pheasant,short-sangria-crow
massive-pastel-pheasant,curly-pastel-dove
massive-pastel-pheasant,strong-watermelon-wolverine
massive-pastel-pheasant,generous-concrete-walrus
massive-pastel-pheasant,curly-berry-coyote
fun-hemp-wren,attractive-hemp-beetle
fun-hemp-wren,electric-mustard-scallop
fun-hemp-wren,little-oily-platypus
fun-hemp-wren,magic-stone-lynx
fun-hemp-wren,dapper-cinnabar-raven
straight-ginger-tadpole,brief-lead-wren
straight-ginger-tadpole,creamy-umber-crocodile
straight-ginger-tadpole,short-turquoise-rhino
straight-ginger-tadpole,oblong-heather-jaguar
straight-ginger-tadpole,blunt-tangerine-mammoth
straight-ginger-tadpole,cheerful-chili-caterpillar
straight-ginger-tadpole,stable-burlap-raccoon
straight-ginger-tadpole,festive-marigold-mole
straight-ginger-tadpole,big-velvet-stork
straight-ginger-tadpole,hidden-pastel-wasp
straight-ginger-tadpole,scruffy-aquamarine-porcupine
straight-ginger-tadpole,upbeat-pearl-vulture
straight-ginger-tadpole,itchy-pewter-ferret
straight-ginger-tadpole,square-goldenrod-gorilla
straight-ginger-tadpole,atomic-rusty-gecko
straight-ginger-tadpole,fit-mauve-baboon
straight-ginger-tadpole,mammoth-misty-loris
straight-ginger-tadpole,lone-violet-orca
straight-ginger-tadpole,bubbly-slate-donkey
straight-ginger-tadpole,electric-chiffon-porcupine
straight-ginger-tadpole,glorious-honey-hedgehog
straight-ginger-tadpole,dandy-pastel-snake
straight-ginger-tadpole,long-smoke-salmon
perfect-chartreuse-butterfly,oblong-concrete-hamster
perfect-chartreuse-butterfly,ripe-white-cuckoo
perfect-chartreuse-butterfly,clever-coral-orangutan
perfect-chartreuse-butterfly,tangy-concrete-locust
perfect-chartreuse-butterfly,colossal-tangerine-reindeer
perfect-chartreuse-butterfly,quaint-cream-ladybug
rural-rosewood-wallaby,main-opal-raccoon
rural-rosewood-wallaby,crazy-porcelain-dragonfly
rural-rosewood-wallaby,late-parchment-mantaray
rural-rosewood-wallaby,calm-scarlet-liger
rural-rosewood-wallaby,suave-mustard-llama
