source,target,weight
witty-basil-panther,howling-gauze-seal,5
witty-basil-panther,eager-opal-marmot,5
witty-basil-panther,pet-seaweed-hippo,17
witty-basil-panther,breezy-mocha-goblin,5
witty-basil-panther,young-hotpink-lark,4
witty-basil-panther,hot-olive-albatross,25
witty-basil-panther,blunt-olive-dalmatian,6
witty-basil-panther,faithful-carob-rat,3
witty-basil-panther,clean-flint-starling,10
witty-basil-panther,brave-garnet-rhino,1
witty-basil-panther,rich-mustard-walrus,2
witty-basil-panther,fun-tangelo-weasel,3
witty-basil-panther,rare-red-ferret,1
witty-basil-panther,proper-jetblack-coyote,1
petite-tawny-rhino,ripe-lipstick-wren,1
petite-tawny-rhino,bitter-sand-starling,1
petite-tawny-rhino,spare-porcelain-cuckoo,1
petite-tawny-rhino,odd-laurel-lizard,2
petite-tawny-rhino,docile-orchid-tuna,1
petite-tawny-rhino,clumsy-blonde-ostrich,1
petite-tawny-rhino,young-pink-seal,1
petite-tawny-rhino,massive-hazel-parakeet,1
petite-tawny-rhino,low-banana-rook,1
petite-tawny-rhino,square-olive-albatross,1
petite-tawny-rhino,clean-mossy-loris,2
petite-tawny-rhino,tall-fuchsia-dog,1
petite-tawny-rhino,brave-basil-peacock,1
petite-tawny-rhino,shallow-sandstone-squid,1
petite-tawny-rhino,silly-lead-stork,2
petite-tawny-rhino,damp-glossy-stallion,2
petite-tawny-rhino,fancy-champagne-yeti,1
petite-tawny-rhino,itchy-pewter-ferret,1
petite-tawny-rhino,gigantic-cloud-gibbon,2
petite-tawny-rhino,young-shamrock-tarantula,1
petite-tawny-rhino,merry-green-owl,1
petite-tawny-rhino,fit-sandstone-mongoose,1
petite-tawny-rhino,jolly-felt-salamander,1
petite-tawny-rhino,high-daffodil-narwhal,1
petite-tawny-rhino,magnificent-bone-buffalo,2
petite-tawny-rhino,melted-ultraviolet-mole,1
festive-cloth-alligator,slow-amethyst-lynx,12
small-neon-finch,petite-lavender-gibbon,7
small-neon-finch,soft-peanut-spider,8
small-neon-finch,overt-rouge-beetle,2
small-neon-finch,mythical-daffodil-cormorant,3
skinny-coconut-loris,original-taffy-aphid,7
skinny-coconut-loris,fit-grape-grasshopper,24
skinny-coconut-loris,harsh-raspberry-copperhead,2
skinny-coconut-loris,stable-burlap-raccoon,7
skinny-coconut-loris,macho-champagne-chipmunk,12
skinny-coconut-loris,muscular-maroon-vulture,10
skinny-coconut-loris,merry-tangerine-leopard,29
skinny-coconut-loris,orbiting-indigo-turkey,7
skinny-coconut-loris,chilly-cloud-ram,3
skinny-coconut-loris,stale-eggplant-elephant,10
skinny-coconut-loris,hidden-iris-raccoon,3
skinny-coconut-loris,tricky-macaroon-tiger,4
skinny-coconut-loris,hot-merlot-lion,2
skinny-coconut-loris,odd-merlot-fish,2
skinny-coconut-loris,sparkly-mercurial-panther,1
skinny-coconut-loris,jovial-olive-capybara,7
skinny-coconut-loris,mammoth-strawberry-platypus,6
skinny-coconut-loris,radiant-goldenrod-bull,3
skinny-coconut-loris,jumpy-green-alpaca,4
skinny-coconut-loris,hot-carrot-chipmunk,14
skinny-coconut-loris,urban-rosewood-mandrill,7
skinny-coconut-loris,beautiful-hotpink-rook,3
skinny-coconut-loris,brave-hazel-salmon,4
skinny-coconut-loris,quick-obsidian-rook,1
skinny-coconut-loris,proud-inky-kangaroo,2
skinny-coconut-loris,rhythmic-mercurial-tarantula,3
skinny-coconut-loris,funny-turquoise-mustang,7
skinny-coconut-loris,obedient-rosewood-peacock,5
urban-rosewood-mandrill,original-taffy-aphid,7
urban-rosewood-mandrill,fit-grape-grasshopper,13
urban-rosewood-mandrill,harsh-raspberry-copperhead,2
urban-rosewood-mandrill,atomic-mocha-cheetah,6
urban-rosewood-mandrill,stable-burlap-raccoon,13
urban-rosewood-mandrill,macho-champagne-chipmunk,6
urban-rosewood-mandrill,muscular-maroon-vulture,4
urban-rosewood-mandrill,orbiting-indigo-turkey,5
urban-rosewood-mandrill,chilly-cloud-ram,5
urban-rosewood-mandrill,stale-eggplant-elephant,4
urban-rosewood-mandrill,tricky-macaroon-tiger,1
urban-rosewood-mandrill,hot-merlot-lion,3
urban-rosewood-mandrill,odd-merlot-fish,9
urban-rosewood-mandrill,sparkly-mercurial-panther,4
urban-rosewood-mandrill,jovial-olive-capybara,6
urban-rosewood-mandrill,mammoth-strawberry-platypus,6
urban-rosewood-mandrill,radiant-goldenrod-bull,3
urban-rosewood-mandrill,jumpy-green-alpaca,4
urban-rosewood-mandrill,hot-carrot-chipmunk,7
urban-rosewood-mandrill,breezy-goldenrod-pelican,2
urban-rosewood-mandrill,beautiful-hotpink-rook,3
urban-rosewood-mandrill,brave-hazel-salmon,4
urban-rosewood-mandrill,quick-obsidian-rook,6
urban-rosewood-mandrill,proud-inky-kangaroo,3
urban-rosewood-mandrill,rhythmic-mercurial-tarantula,2
urban-rosewood-mandrill,funny-turquoise-mustang,10
